SPACEPORT_REC_ID,SPACEPORT_NAME,NOTAM_REC_ID
2,Cape Canaveral Air Force Station,149692
2,Cape Canaveral Air Force Station,149693
2,Cape Canaveral Air Force Station,149694
2,Cape Canaveral Air Force Station,149701
2,Cape Canaveral Air Force Station,149716
2,Cape Canaveral Air Force Station,149717
2,Cape Canaveral Air Force Station,149718
2,Cape Canaveral Air Force Station,149724
2,Cape Canaveral Air Force Station,149725
2,Cape Canaveral Air Force Station,149728
2,Cape Canaveral Air Force Station,149729
2,Cape Canaveral Air Force Station,149736
2,Cape Canaveral Air Force Station,151020
2,Cape Canaveral Air Force Station,151021
2,Cape Canaveral Air Force Station,151081
2,Cape Canaveral Air Force Station,151275
2,Cape Canaveral Air Force Station,151276
2,Cape Canaveral Air Force Station,151283
2,Cape Canaveral Air Force Station,151290
2,Cape Canaveral Air Force Station,151291
2,Cape Canaveral Air Force Station,151294
2,Cape Canaveral Air Force Station,151306
2,Cape Canaveral Air Force Station,151314
2,Cape Canaveral Air Force Station,151337
2,Cape Canaveral Air Force Station,151339
2,Cape Canaveral Air Force Station,151342
2,Cape Canaveral Air Force Station,151347
2,Cape Canaveral Air Force Station,151348
2,Cape Canaveral Air Force Station,151349
2,Cape Canaveral Air Force Station,151350
2,Cape Canaveral Air Force Station,151356
2,Cape Canaveral Air Force Station,162515
2,Cape Canaveral Air Force Station,162516
2,Cape Canaveral Air Force Station,162519
2,Cape Canaveral Air Force Station,162520
2,Cape Canaveral Air Force Station,162522
2,Cape Canaveral Air Force Station,162523
2,Cape Canaveral Air Force Station,162527
2,Cape Canaveral Air Force Station,162571
2,Cape Canaveral Air Force Station,162575
2,Cape Canaveral Air Force Station,162580
2,Cape Canaveral Air Force Station,162613
2,Cape Canaveral Air Force Station,162614
2,Cape Canaveral Air Force Station,163387
2,Cape Canaveral Air Force Station,163388
2,Cape Canaveral Air Force Station,163397
2,Cape Canaveral Air Force Station,163406
2,Cape Canaveral Air Force Station,163408
2,Cape Canaveral Air Force Station,163412
2,Cape Canaveral Air Force Station,163416
2,Cape Canaveral Air Force Station,163418
2,Cape Canaveral Air Force Station,167358
2,Cape Canaveral Air Force Station,175761
2,Cape Canaveral Air Force Station,179365
2,Cape Canaveral Air Force Station,185901
2,Cape Canaveral Air Force Station,185902
2,Cape Canaveral Air Force Station,186015
2,Cape Canaveral Air Force Station,186016
2,Cape Canaveral Air Force Station,186030
2,Cape Canaveral Air Force Station,186031
2,Cape Canaveral Air Force Station,186032
2,Cape Canaveral Air Force Station,186035
2,Cape Canaveral Air Force Station,186036
2,Cape Canaveral Air Force Station,186138
2,Cape Canaveral Air Force Station,186139
2,Cape Canaveral Air Force Station,186140
2,Cape Canaveral Air Force Station,186149
2,Cape Canaveral Air Force Station,186150
2,Cape Canaveral Air Force Station,186151
2,Cape Canaveral Air Force Station,186152
2,Cape Canaveral Air Force Station,186157
2,Cape Canaveral Air Force Station,187255
2,Cape Canaveral Air Force Station,187257
2,Cape Canaveral Air Force Station,187259
2,Cape Canaveral Air Force Station,187265
2,Cape Canaveral Air Force Station,187266
2,Cape Canaveral Air Force Station,187270
2,Cape Canaveral Air Force Station,187273
2,Cape Canaveral Air Force Station,187282
2,Cape Canaveral Air Force Station,191286
2,Cape Canaveral Air Force Station,191288
2,Cape Canaveral Air Force Station,191581
2,Cape Canaveral Air Force Station,195083
2,Cape Canaveral Air Force Station,198286
2,Cape Canaveral Air Force Station,199701
2,Cape Canaveral Air Force Station,199787
2,Cape Canaveral Air Force Station,199843
2,Cape Canaveral Air Force Station,200255
2,Cape Canaveral Air Force Station,203757
2,Cape Canaveral Air Force Station,205725
2,Cape Canaveral Air Force Station,205750
2,Cape Canaveral Air Force Station,205751
2,Cape Canaveral Air Force Station,206045
2,Cape Canaveral Air Force Station,206046
2,Cape Canaveral Air Force Station,206048
2,Cape Canaveral Air Force Station,206076
2,Cape Canaveral Air Force Station,206077
2,Cape Canaveral Air Force Station,206086
2,Cape Canaveral Air Force Station,206088
2,Cape Canaveral Air Force Station,206089
2,Cape Canaveral Air Force Station,206091
2,Cape Canaveral Air Force Station,207952
2,Cape Canaveral Air Force Station,207954
2,Cape Canaveral Air Force Station,210263
2,Cape Canaveral Air Force Station,210264
2,Cape Canaveral Air Force Station,210265
2,Cape Canaveral Air Force Station,210271
2,Cape Canaveral Air Force Station,210272
2,Cape Canaveral Air Force Station,210273
2,Cape Canaveral Air Force Station,210274
2,Cape Canaveral Air Force Station,210279
2,Cape Canaveral Air Force Station,212204
2,Cape Canaveral Air Force Station,212205
2,Cape Canaveral Air Force Station,212210
2,Cape Canaveral Air Force Station,212231
2,Cape Canaveral Air Force Station,212232
2,Cape Canaveral Air Force Station,212259
2,Cape Canaveral Air Force Station,212261
2,Cape Canaveral Air Force Station,212377
2,Cape Canaveral Air Force Station,212378
2,Cape Canaveral Air Force Station,212381
2,Cape Canaveral Air Force Station,212389
2,Cape Canaveral Air Force Station,212390
2,Cape Canaveral Air Force Station,212391
2,Cape Canaveral Air Force Station,212392
2,Cape Canaveral Air Force Station,212397
2,Cape Canaveral Air Force Station,212433
2,Cape Canaveral Air Force Station,212434
2,Cape Canaveral Air Force Station,212435
2,Cape Canaveral Air Force Station,212441
2,Cape Canaveral Air Force Station,212442
2,Cape Canaveral Air Force Station,212443
2,Cape Canaveral Air Force Station,212444
2,Cape Canaveral Air Force Station,212449
2,Cape Canaveral Air Force Station,212493
2,Cape Canaveral Air Force Station,212494
2,Cape Canaveral Air Force Station,212504
2,Cape Canaveral Air Force Station,212508
2,Cape Canaveral Air Force Station,212510
2,Cape Canaveral Air Force Station,212520
2,Cape Canaveral Air Force Station,212532
2,Cape Canaveral Air Force Station,212534
2,Cape Canaveral Air Force Station,212536
2,Cape Canaveral Air Force Station,212552
2,Cape Canaveral Air Force Station,212553
2,Cape Canaveral Air Force Station,212554
2,Cape Canaveral Air Force Station,212555
2,Cape Canaveral Air Force Station,212560
2,Cape Canaveral Air Force Station,212561
2,Cape Canaveral Air Force Station,212562
2,Cape Canaveral Air Force Station,215034
2,Cape Canaveral Air Force Station,216121
2,Cape Canaveral Air Force Station,216122
2,Cape Canaveral Air Force Station,216124
2,Cape Canaveral Air Force Station,216173
2,Cape Canaveral Air Force Station,216174
2,Cape Canaveral Air Force Station,216175
2,Cape Canaveral Air Force Station,216180
2,Cape Canaveral Air Force Station,216181
2,Cape Canaveral Air Force Station,216182
2,Cape Canaveral Air Force Station,216183
2,Cape Canaveral Air Force Station,216190
2,Cape Canaveral Air Force Station,216191
2,Cape Canaveral Air Force Station,216192
2,Cape Canaveral Air Force Station,216193
2,Cape Canaveral Air Force Station,216198
